,0,1
16,"['where', 's', 'a', 'good', 'place', 'to', 'eat', 'crossover', 'food', 'in', 'cambridge', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'O']"
17,"['how', 'about', 'british', 'restaurant', '-s', 'in', 'the', 'centre', 'instead', '?']","['O', 'O', 'restaurant-food', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O']"
18,"['i', 'would', 'prefer', 'the', 'british', 'food', '.']","['O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
19,"['yes', 'please', 'make', 'a', 'booking', 'for', '8', 'people', 'at', '12:30', 'on', 'friday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O']"
20,"['i', 'want', 'a', 'restaurant', 'in', 'the', 'north', 'of', 'cambridge', 'that', 'is', 'within', 'a', 'moderate', 'price', 'range', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O']"
21,"['please', 'book', 'a', 'table', 'for', '4', 'at', 'the', 'chinese', 'place', 'at', '12:30', 'on', 'sunday', 'and', 'give', 'me', 'the', 'reference', 'number', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-food', 'O', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"['yes', 'i', 'am', 'looking', 'for', 'a', 'moderate', 'priced', 'place', 'to', 'eat', 'in', 'the', 'east', '.', 'phone', '#', ',', 'postcode', 'and', 'food', 'type', 'please']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['i', 'would', 'prefer', 'italian', 'but', 'indian', 'would', 'be', 'good', 'as', 'well', '.', 'i', 'will', 'need', 'the', 'phone', 'number', 'and', 'postcode', 'of', 'the', 'restaurant', '.', 'thanks', '!']","['O', 'O', 'O', 'restaurant-food', 'O', 'restaurant-food', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,"['can', 'you', 'help', 'me', 'book', 'a', 'table', 'at', 'a', 'chinese', 'restaurant', 'that', 's', 'in', 'the', 'centre', 'of', 'town', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O']"
25,"['i', 'need', 'some', 'cheap', 'chop', 'suey', ',', 'please', '.']","['O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O']"
26,"['that', 'sounds', 'like', ""they'll"", 'have', 'some', 'awesome', 'chop', 'suey', 'please', 'book', 'me', 'a', 'table', 'for', '2', 'on', 'tuesday', 'at', '12:45', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'restaurant-bookday', 'O', 'O', 'O']"
27,"['can', 'we', 'try', 'the', 'same', 'day', 'for', '11:45', 'please', '?', 'and', 'can', 'i', 'have', 'the', 'reference', 'number', 'as', 'well', ',', 'thanks', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-booktime', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,"['i', 'am', 'looking', 'for', 'a', 'restaurant', 'that', 'is', 'in', 'the', 'expensive', 'price', 'range', 'and', 'in', 'the', 'south', 'part', 'of', 'town', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O']"
29,"['let', 's', 'go', 'with', 'italian', 'food', '.']","['O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
30,"['can', 'you', 'help', 'me', 'find', 'an', 'expensive', 'chinese', 'food', 'restaurant', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'restaurant-food', 'O', 'O', 'O']"
31,"['i', 'am', 'interested', 'in', 'restaurant', '-s', 'located', 'in', 'the', 'east', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O']"
32,"['yeah', 'could', 'you', 'book', 'it', 'for', '8', 'people', 'on', 'monday', 'i', 'think', '16:15', 'is', 'when', 'we', 'want', 'to', 'be', 'seated', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-bookday', 'O', 'O', 'restaurant-booktime', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,"['i', 'am', 'looking', 'to', 'go', 'to', 'dinner', 'tonight', 'and', 'am', 'in', 'the', 'mood', 'for', 'some', 'good', 'bistro', 'in', 'the', 'centre', 'of', 'town', ',', 'can', 'you', 'find', 'me', 'some', 'options', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['hmm', 'let', 'me', 'think', 'let', 's', 'try', 'maybe', 'something', 'italian', 'instead', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
35,"['i', 'am', 'looking', 'for', 'a', 'particular', 'restaurant', 'its', 'name', 'is', 'called', 'travellers rest']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-name']"
36,"['yes', 'and', 'can', 'you', 'book', 'a', 'table', 'for', '1', 'at', '14:15', 'on', 'monday', ',', 'please', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'O', 'restaurant-bookday', 'O', 'O', 'O']"
37,"['heya', 'can', 'you', 'find', 'me', 'an', 'expensive', 'restaurant', 'with', 'north', 'african', 'food', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
38,"['are', 'there', 'any', 'expensive', 'restaurant', '-s', 'with', 'gastropub', 'food', '?']","['O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
39,"['yes', 'the', '1', 'in', 'the', 'east', 'please', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O']"
40,"['yes', 'please', 'book', 'it', 'for', '2', 'people', 'at', '13:45', 'on', 'monday', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O']"
41,"['not', 'sure', 'of', 'that', 'i', 'am', 'looking', 'for', 'a', 'restaurant', 'named', 'ask', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-name', 'O']"
42,"['i', 'would', 'like', 'to', 'book', 'a', 'table', 'for', '5', 'people', 'on', 'sunday', 'at', '14:15']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-bookday', 'O', 'O']"
43,"['hi', 'what', 'can', 'you', 'tell', 'me', 'about', 'the', 'bangkok city', 'restaurant', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-name', 'O', 'O']"
44,"['yes', 'for', '2', 'at', '19:30', 'on', 'sunday', 'please', '.', 'i', 'need', 'the', 'reference', 'number', 'then', 'too', '.']","['O', 'O', 'restaurant-bookpeople', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
45,"['please', 'find', 'me', 'a', 'place', 'to', 'dine', 'that', 's', 'expensive', 'and', 'in', 'the', 'centre', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-area', 'O']"
46,"['i', 'am', 'looking', 'for', 'thai', 'food', '.']","['O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
47,"['ok', 'great', 'can', 'you', 'reserve', 'a', 'table', 'there', 'for', 'thursday', 'for', '5', 'people', 'at', '15:00', 'please', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookday', 'O', 'restaurant-bookpeople', 'O', 'O', 'O', 'O', 'O']"
48,"['i', 'am', 'looking', 'for', 'a', 'particular', 'restaurant', 'called', 'ask', '.', 'please', 'give', 'me', 'information', 'on', 'that', 'restaurant', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
49,"['yes', 'i', 'would', 'like', 'to', 'book', 'a', 'table', 'for', '1', 'at', '17:15', 'on', 'wednesday', '.', 'can', 'you', 'do', 'that', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O']"
50,"['hey', 'i', 'am', 'up', 'south', 'can', 'you', 'give', 'me', 'a', 'place', 'to', 'eat', '?']","['O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
51,"['great', 'thank', 'you', 'i', 'am', 'also', 'in', 'need', 'of', 'an', 'indian', 'restaurant', 'in', 'the', 'cheap', 'price', 'range', '.', 'can', 'you', 'find', 'me', '1', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
52,"['i', 'certainly', 'want', 'to', 'try', 'it', 'then', 'please', 'book', 'for', '6', 'people', 'at', '11:30', 'on', 'saturday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O']"
53,"['can', 'you', 'assist', 'me', 'in', 'finding', 'me', 'an', 'expensive', 'restaurant', 'in', 'cambridge', 'where', 'i', 'can', 'dine', 'the', 'restaurant', 'should', 'be', 'serving', 'british', 'foods', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
54,"['i', 'would', 'like', 'it', 'to', 'be', 'in', 'centre', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O']"
55,"['we', 'will', 'be', 'dining', 'at', '16', '3', '0', 'please', 'book', 'a', 'table', 'for', '3', 'on', 'saturday', 'and', 'provide', 'the', 'reference', 'number', '.', 'i', 'also', 'need', 'a', 'hotel', 'in', 'the', 'same', 'area', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,"['i', 'would', 'like', 'a', 'room', 'for', '3', 'people', 'just', 'for', 'saturday', 'night', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'O', 'restaurant-bookday', 'O', 'O']"
57,"['crossover', 'food', 'would', 'be', 'perfect', 'crossover', 'food', 'would', 'be', 'perfect', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'O', 'O']"
58,"['is', 'there', 'a', 'gastropub', 'in', 'centre', '?']","['O', 'O', 'O', 'restaurant-food', 'O', 'restaurant-area', 'O']"
59,"['let', 's', 'go', 'with', 'the', 'moderate', '-ly', 'priced', 'option', '.', 'can', 'i', 'please', 'have', 'the', 'phone', 'number', '?']","['O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
60,"['i', 'am', 'looking', 'for', 'a', 'place', 'to', 'eat', 'i', 'would', 'like', 'it', 'to', 'be', 'an', 'expensive', 'restaurant', 'in', 'the', 'centre', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-area', 'O']"
61,"['i', 'am', 'looking', 'for', 'a', 'restaurant', 'with', 'mediterranean', 'food', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
62,"['please', 'book', 'the', '1', 'is', 'la mimosa']","['O', 'O', 'O', 'O', 'O', 'restaurant-name']"
63,"['yes', 'it', 's', 'for', '8', 'people', '16:45', 'on', 'monday', '.', 'i', 'would', 'like', 'the', 'reference', 'number', ',', 'if', 'it', 'is', 'available', '.']","['O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
64,"['yes', 'please', 'try', 'the', 'shiraz', 'restaurant', '.']","['O', 'O', 'O', 'O', 'restaurant-name', 'O', 'O']"
65,"['yes', 'i', 'would', 'also', 'l', 'like', 'to', 'find', 'a', 'splendid', 'moderate', '-ly', 'priced', 'place', 'to', 'dine', 'in', 'the', 'centre', '.', 'that', 'would', 'be', 'just', 'wonderful', 'if', 'you', 'could', 'help', 'me', 'out', 'with', 'that', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
66,"['i', 'would', 'like', 'an', 'italian', 'restaurant', ',', 'please', '.']","['O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'O']"
67,"['hi', 'i', 'need', 'a', 'moderate', 'price', 'range', 'restaurant', 'in', 'the', 'centre', 'of', 'town', '.']","['O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O']"
68,"['yes', 'the', 'booking', 'should', 'be', 'for', '2', 'on', 'wednesday', 'at', '16:00', '.', 'could', 'i', 'also', 'get', 'a', 'reference', 'number', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'restaurant-bookday', 'O', 'restaurant-booktime', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
69,"['we', 'will', 'be', 'on', 'the', 'west', 'side', 'of', 'town', 'and', 'would', 'like', 'to', 'find', 'a', 'place', 'to', 'eat', 'while', 'there', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
70,"['i', 'want', 'some', 'scottish', 'food', '.']","['O', 'O', 'O', 'restaurant-food', 'O', 'O']"
71,"['yeah', 'can', 'you', 'check', 'the', 'south', 'please', '?']","['O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O']"
72,"['what', 'a', 'bummer', 'find', 'me', 'a', 'restaurant', 'that', 'serves', 'british', 'food', 'on', 'the', 'west', 'please', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'restaurant-area', 'O', 'O']"
73,"['the', 'expensive', 'range', 'please', '.', 'i', 'will', 'need', 'their', 'phone', 'number', 'and', 'address', '.', 'also', ',', 'i', 'am', 'looking', 'for', 'a', 'train', 'departing', 'from', 'cambridge', 'on', 'saturday', '.']","['O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
74,"['let', 's', 'find', 'me', 'an', 'expensiove', 'place', 'to', 'eat', 'in', 'the', 'centre']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area']"
75,"['how', 'about', 'you', 'pick', '1', 'and', 'reserve', 'a', 'table', 'for', '5', 'on', 'sunday', 'at', '11:45', ',', 'and', ""i'll"", 'need', 'that', 'reference', 'number', 'too', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
76,"['i', 'would', 'like', 'to', 'eat', 'in', 'the', 'center', 'of', 'town', 'at', 'a', 'expensive', 'place', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O']"
77,"['how', 'about', 'african', 'i', 'would', 'like', 'to', 'book', 'a', 'table', 'for', '7', 'at', '16:15', 'on', 'tuesday', '.']","['O', 'O', 'restaurant-food', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O']"
78,"['i', 'also', 'need', 'to', 'find', 'an', 'indian', 'restaurant', 'in', 'the', 'east', 'please', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'restaurant-area', 'O', 'O']"
79,"['4', 'of', 'us', 'friday', 'at', '14:45', 'i', 'need', 'the', 'reference', 'number', 'too', '4', 'of', 'us', 'friday', 'at', '14:45', 'i', 'need', 'the', 'reference', 'number', 'too', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
80,"['i', 'would', 'like', 'to', 'get', 'to', 'the', 'restaurant', 'by', '4', ':45', 'please', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'O']"
81,"['i', 'need', 'a', 'place', 'to', 'eat', 'that', 'is', 'expensive', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O']"
82,"['in', 'the', 'centre', ',', 'please', '.']","['O', 'O', 'restaurant-area', 'O', 'O', 'O']"
83,"['i', 'want', 'something', 'with', 'malaysian', 'food', '.']","['O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
84,"['i', 'actually', 'just', 'need', 'an', 'expensive', 'place', 'to', 'dine', 'in', 'the', 'centre', 'of', 'town', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O']"
85,"['yes', 'please', 'can', 'you', 'book', 'that', 'for', '8', 'people', 'on', 'saturday', 'at', '15:30', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-bookday', 'O', 'restaurant-booktime', 'O']"
86,"['if', 'saturday', 'fails', ',', 'try', 'monday', 'and', 'provide', 'the', 'reference', 'number', '.', 'also', 'looking', 'for', 'a', 'guesthouse', 'in', 'the', 'same', 'area', 'with', 'internet', '.', 'provide', 'starts', 'and', 'address', 'please', '.']","['O', 'restaurant-bookday', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
87,"['what', 'expensive', 'hotel', 'do', 'you', 'recommend', '?']","['O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O']"
88,"['i', 'am', 'also', 'looking', 'for', 'a', 'great', 'italian', 'restaurant', 'on', 'the', 'east', 'side', 'of', 'town', 'that', 'you', 'would', 'recommend', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
89,"['what', 'is', 'the', 'address', 'and', 'phone', 'number', 'to', 'pizza hut fen ditton', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-name', 'O']"
90,"['hi', 'i', 'want', 'a', 'moderate', '-ly', 'priced', 'restaurant', 'located', 'in', 'the', 'south', 'part', 'of', 'town', '.']","['O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O']"
91,"['i', 'would', 'like', 'inexpensive', 'turkish', 'food', '.']","['O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
92,"['ok', 'how', 'about', 'an', 'italian', 'restaurant', '?']","['O', 'O', 'O', 'O', 'restaurant-food', 'O', 'O']"
93,"['i', 'do', 'not', 'have', 'a', 'preference', 'of', 'area', 'as', 'long', 'as', 'it', 's', 'cheap', '.', 'please', 'make', 'a', 'suggestion', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O']"
94,"['i', 'would', 'like', 'a', 'restaurant', 'that', 'serves', 'world', 'food']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O']"
95,"['how', 'about', 'portuguese', 'food', '?']","['O', 'O', 'restaurant-food', 'O', 'O']"
96,"['can', 'you', 'find', 'me', 'an', 'expensive', 'restaurant', 'in', 'the', 'north', '?']","['O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-area', 'O']"
97,"['yes', 'please', 'can', 'you', 'make', 'a', 'reservation', 'for', '7', 'people', 'at', '12:30', 'on', 'a', 'tuesday', '?', 'thanks']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-booktime', 'O', 'O', 'restaurant-bookday', 'O', 'O']"
98,"['i', 'need', 'a', 'south', 'restaurant', 'with', 'british', 'food', '.']","['O', 'O', 'O', 'restaurant-area', 'O', 'O', 'restaurant-food', 'O', 'O']"
99,"['is', 'there', 'a', 'chinese', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town', '?']","['O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O']"
